Country Name,Country Code,Series Name,Area_Divide,Series Code,Time,Time Code,Value
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2010,YR2010,18.47965037
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2011,YR2011,17.66914391
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2012,YR2012,16.86040266
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2013,YR2013,16.05344168
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2014,YR2014,15.24827559
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2015,YR2015,14.44473346
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2016,YR2016,13.6430225
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2017,YR2017,12.8668456
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2018,YR2018,12.17017227
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2019,YR2019,11.47563902
Afghanistan,AFG,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2020,YR2020,10.78376141
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2010,YR2010,23.36243711
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2011,YR2011,22.48397057
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2012,YR2012,21.60550404
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2013,YR2013,20.7270375
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2014,YR2014,19.84857096
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2015,YR2015,18.97010442
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2016,YR2016,18.09163789
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2017,YR2017,17.21317135
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2018,YR2018,16.33470481
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2019,YR2019,15.45623828
Afghanistan,AFG,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2020,YR2020,14.57777174
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2010,YR2010,2.792077792
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2011,YR2011,2.378631765
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2012,YR2012,1.965185738
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2013,YR2013,1.551739712
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2014,YR2014,1.138293685
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2015,YR2015,0.724847658
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2016,YR2016,0.311401631
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2017,YR2017,0
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2018,YR2018,0
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2019,YR2019,0
Afghanistan,AFG,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2020,YR2020,0
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2010,YR2010,0.375274153
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2011,YR2011,0.32823482
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2012,YR2012,0.282042419
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2013,YR2013,0.236762285
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2014,YR2014,0.139691059
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2015,YR2015,0.109372147
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2016,YR2016,0.080385895
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2017,YR2017,0.052687812
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2018,YR2018,0
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2019,YR2019,0
Albania,ALB,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2020,YR2020,0
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2010,YR2010,0.575018599
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2011,YR2011,0.511404317
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2012,YR2012,0.447790034
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2013,YR2013,0.384175752
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2014,YR2014,0.32056147
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2015,YR2015,0.256947187
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2016,YR2016,0.193332905
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2017,YR2017,0.129718622
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2018,YR2018,0
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2019,YR2019,0
Albania,ALB,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2020,YR2020,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2010,YR2010,0.192094983
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2011,YR2011,0.167404661
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2012,YR2012,0.142714339
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2013,YR2013,0.118024018
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2014,YR2014,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2015,YR2015,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2016,YR2016,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2017,YR2017,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2018,YR2018,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2019,YR2019,0
Albania,ALB,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2020,YR2020,0
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2010,YR2010,2.574999351
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2011,YR2011,2.270808327
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2012,YR2012,1.977114639
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2013,YR2013,1.693614807
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2014,YR2014,1.419856885
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2015,YR2015,1.155577807
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2016,YR2016,0.900352486
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2017,YR2017,0.653890752
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2018,YR2018,0.415795117
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2019,YR2019,0.185741468
Algeria,DZA,People practicing open defecation (% of population),Total,SH.STA.ODFC.ZS,2020,YR2020,0
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2010,YR2010,7.17254368
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2011,YR2011,6.44640452
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2012,YR2012,5.72026536
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2013,YR2013,4.9941262
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2014,YR2014,4.26798704
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2015,YR2015,3.54184788
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2016,YR2016,2.81570872
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2017,YR2017,2.08956956
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2018,YR2018,1.3634304
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2019,YR2019,0.63729124
Algeria,DZA,People practicing open defecation rural (% of rural population),Rural,SH.STA.ODFC.RU.ZS,2020,YR2020,0
Algeria,DZA,People practicing open defecation urban (% of urban population),Urban,SH.STA.ODFC.UR.ZS,2010,YR2010,0.36540096
