Country Name,Country Code,Series Name,Area_Divide,Series Code,Time,Time Code,Value
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2010,YR2010,34.89884717
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2011,YR2011,36.4251488
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2012,YR2012,37.96080939
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2013,YR2013,39.50601764
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2014,YR2014,41.06096635
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2015,YR2015,42.62602284
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2016,YR2016,44.20121748
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2017,YR2017,45.78912703
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2018,YR2018,47.39066209
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2019,YR2019,49.00616952
Afghanistan,AFG,People using at least basic sanitation services (% of population),Total,SH.STA.BASS.ZS,2020,YR2020,50.49964687
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2010,YR2010,31.38318584
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2011,YR2011,32.72422461
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2012,YR2012,34.06537391
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2013,YR2013,35.40663376
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2014,YR2014,36.74800414
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2015,YR2015,38.08948507
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2016,YR2016,39.43107653
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2017,YR2017,40.77277853
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2018,YR2018,42.11459106
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2019,YR2019,43.45651414
Afghanistan,AFG,People using at least basic sanitation services rural (% of rural population),Rural,SH.STA.BASS.RU.ZS,2020,YR2020,44.79670034
Afghanistan,AFG,People using at least basic sanitation services urban (% of urban population),Urban,SH.STA.BASS.UR.ZS,2010,YR2010,46.19407916
Afghanistan,AFG,People using at least basic sanitation services urban (% of urban population),Urban,SH.STA.BASS.UR.ZS,2011,YR2011,48.17822534
